,VENDOR_IDENTIFIER,VENDOR_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_COUNTRY,VENDOR_ADDRESS
631,98861416,3743.0,FINICA FOOD SPECIALTIES LTD.,WASHINGTON,US,"65 SUPERIOR BLVD, UNIT 1"
634,98861438,3763.0,BWAY CORPORATION,NAPERVILLE,US,5850 272ND STREET
635,98861439,3764.0,ENJAY CONVERTERS LTD.,CHICAGO,US,495 BALL STREET
636,98861443,3768.0,LASSONDE INC.,GREENSBORO,US,"170, 5E AVENUE"
637,98861453,3777.0,HIGHLINE MUSHROOMS WEST INC.,NAPERVILLE,US,#103 4848 275 STREET
638,98861463,3786.0,SCOTTS CANADA LTD,WARREN,US,2000 ARGENTIA ROAD
639,98861467,379.0,SHAH TRADING COMPANY LTD,DETROIT,US,3451 MCNICOLL AVENUE
640,98861475,3797.0,GH INTERNATIONAL SEALANTS,VACAVILLE,US,2540 RENA ROAD
641,98861481,3802.0,CASCADES TISSUE GROUP,CHICAGO,US,77 MARIE-VICTORIN BLVD.
642,98861488,3809.0,JANES FAMILY FOODS-SOFINA FOODS INC,WARREN,US,3340 ORLANDO DRIVE
643,98861490,3810.0,UNFI CANADA INC-GROCERY WEST,LOS ANGELES,US,153 - 12757 VULCAN WAY
644,98861497,3817.0,PETRO PLASTIC CORPORATION,LINCOLN,US,140 VINYL COURT
645,98861500,382.0,BAZZINI HOLDINGS LLC,CHICAGO,US,C/O VITRAN TERMINAL
647,98861506,3825.0,ARGUS INDUSTRIES,WASHINGTON,US,20 MURRAY PARK ROAD
648,98861511,383.0,MCPHEE ENTERPRISES,MODESTO,US,2740 COVENTRY ROAD
649,98861513,3831.0,LEDA HEALTH INNOVATIONS INC,JOLIET,US,128-1136 CENTRE STREET
650,98861514,3832.0,W T HAWKINS INC.,BATON ROUGE,US,P.O. BOX 699
651,98861521,3839.0,REVLON CANADA INC,NAPERVILLE,US,C/O DAWN HEPPELL
652,98861532,3849.0,JOHN WATSON LTD.,CARROLLTON,US,7955 NORTH FRASER WAY
653,98861536,3852.0,HENKEL CANADA CORP,WACO,US,2515 MEADOWPINE BLVD
654,98861542,3858.0,SMUCKER FOODS OF CANADA CO.,SPRINGFIELD,US,INTERNATIONAL PACIFIC SALES
655,98861545,3860.0,USCAN INDUSTRIAL FASTENERS LTD.,DETROIT,US,87A BRUNSWICK
656,98861549,3864.0,PROSNACK NATURAL FOODS,INGLEWOOD,US,108-375 LYNN AVE. NORTH
658,98861552,3867.0,BEST BRANDS SALES & MANUFACTURING,JERSEY CITY,US,INC.
659,98861558,3872.0,BOCCALINO GROTTO FINE FOODS,FLORIDA,US,C/O MURRAY MARKET ACCESS
660,98861561,3875.0,FRESH DIRECT PRODUCE_COLD,INGLEWOOD,US,888 MALKIN AVE
661,98861570,3883.0,HARTZ CANADA,DETROIT,US,1125 TALBOT STREET
663,98861582,3894.0,GLOBAL CITRUS GROUP INC.,CARMEL,US,"3410 SOUTH SERVICE RD, SUITE G3"
664,98861588,39.0,TRIPLE THREE TRADING LTD,FLORIDA,US,908 - 34TH AVENUE S.E.
665,98861591,3901.0,DEOLEO CANADA LTD.,HOUSTON,US,C/O TH1093
666,98861604,3913.0,MOUNTAIN MEADOWS FOOD PROCESS. LTD.,KANSAS CITY,US,25211 S.H. 651
667,98861609,3918.0,SUNRISE FARMS  WEST,KNOXVILLE,US,13542 - 73 A AVE
668,98861612,3920.0,MTD PRODUCTS,NAPERVILLE,US,97 KENT AVE
669,98861614,3922.0,KRAFT HEINZ CANADA ULC,HOUSTON,US,95 MOATFIELD DRIVE
670,98861615,3923.0,KRAFT HEINZ CANADA ULC,HOUSTON,US,95 MOATFIELD DRIVE
671,98861618,3926.0,VAN DE WATER-RAYMOND 1960 LTD.,RICHARDSON,US,2300 MONTEREY
672,98861624,3931.0,L'OREAL CANADA INC,CEDAR RAPIDS,US,3500 DOUGLAS B FLOREANI
673,98861627,3934.0,CLOVER LEAF CHEESE LTD.,FLORIDA,US,1201 45TH AVE N.E.
675,98861631,3938.0,NEWELL RUBBERMAID_(EXCESSIVE AND OB,HOUSTON,US,SUITE 1167
676,98861634,3940.0,EASYHEAT,FAIRFIELD,US,C/O BEN DREW
677,98861635,3941.0,HERITAGE FROZEN FOODS LTD,FLORIDA,US,C/O ACOSTA CANADA
679,98861638,3944.0,DAHL VALVE LTD.,TACOMA,US,2600 SOUTH SHERIDAN WAY
680,98861642,3948.0,NORTHERN GRAPHICS LTD.,JOLIET,US,P O BOX 869
681,98861646,3951.0,ARTISAN BAKERY COMPANY,SPRINGFIELD,US,UNIT 4- 500 ALDEN RD
682,98861651,3956.0,STORCK CANADA,VISTA,US,2 ROBERT SPECK PKWY
683,98861660,3964.0,SUNCO FOODS INC,CARROLLTON,US,9208 NORTH FRASER CRESCENT
684,98861661,3965.0,AL-PACK ENTERPRISES LTD.,WESTMINSTER,US,60 COMMERCE STREET
685,98861665,3969.0,HOUSE OF HORVATH INC,HOUSTON,US,77 OSSINGTON AVE.
686,98861675,3978.0,DYNALINE INDUSTRIES INC,OHIO,US,18070 109 AVENUE
687,98861679,3981.0,PROCTER & GAMBLE INC,TEXAS,US,C/O KIM GAUDET
688,98861684,3986.0,GLENCAR FOOD AND BEVERAGE INC,JERSEY CITY,US,91 MAIN ST S
689,98861687,3989.0,DATTANI WHOLESALERS,FLORIDA,US,BAY D 3651-21 STREET NE
690,98861699,40.0,TOPRING,JERSEY CITY,US,1020 INDUSTRIAL BOULEVARD
691,98861709,4008.0,ENERGIZER CANADA,WASHINGTON,US,6733 MISSISSAUGA RD
692,98861722,402.0,ONWARD MANUFACTURING-BBQ_ACCESSORY,JERSEY CITY,US,585 KUMPF DRIVE
693,98861723,4020.0,VENTURA FOODS CANADA,HOUSTON,US,50 TOLAKE CRESCENT
694,98861736,4032.0,THAI UNITED FOOD TRADING LTD.,CARROLLTON,US,"7978 NORTH FRASER WAY, UNIT 2"
695,98861737,4033.0,SCANDINAVIAN TOBACCO GROUP CANADA,SANTA CLARA,US,600 - 1000 DE SERIGNY STREET
696,98861741,4037.0,MARQUIS MILLING AND GRAIN,HIGH POINT,US,BOX 310
697,98861745,4040.0,HONEYWELL / ADEMCO,WARREN,US,3333 UNITY DRIVE
699,98861750,4045.0,RIVERSIDE NATURAL FOODS LTD.,JERSEY CITY,US,2720_STEELES AVENUE WEST
700,98861752,4047.0,NESTLE CANADA INC,BIRMINGHAM,US,9050 AIRPORT ROAD
701,98861758,4052.0,AGROPUR CANADA,EVANSVILLE,US,4600 ARMAND-FRAPPIER STREET
703,98861762,4056.0,MAPLEHURST BAKERIES,HOUSTON,US,PO BOX 3525
704,98861769,4062.0,VENTURA FOODS CANADA,HOUSTON,US,50 TORLAKE CRESCENT
706,98861771,4064.0,CANUS IMPORT EXPORT,DETROIT,US,JEAN MARIOS
708,98861773,4066.0,GOLDEN ACRES HONEY PRODUCTS LTD,FLORIDA,US,C/O KINETIC SALES - SCOTT DEBOER
709,98861774,4067.0,PEAK OF THE MARKET,MISSOURI,US,1200 KING EDWARD STREET
711,98861780,4072.0,OSRAM LTD,SPRINGFIELD,US,"55 RENFREW DRIVE, SUITE 201"
712,98861781,4073.0,"THOMAS, LARGE & SINGER INC",SPRINGFIELD,US,15 ALLSTATE PARKWAY
713,98861793,4084.0,HFC PRESTIGE INTL CANADA,HOUSTON,US,200 KING STREET WEST 3RD FLOOR
714,98861801,4091.0,B.C. FRESH,CHICAGO,US,7330 CHURHILL_STREET
715,98861803,4093.0,DEFLECTO CANADA LTD.,DETROIT,US,221-BUNTING ROAD
717,98861815,4103.0,INFORM BROKERAGE,CARROLLTON,US,2286 HOLDOM AVENUE
718,98861817,4105.0,PREMIER MEAT PACKERS,JERSEY CITY,US,270 BOUL. JOSEPH CARRIER
719,98861819,4107.0,OSPREY ORGANICS,DETROIT,US,485387 30 SIDEROAD
720,98861824,4111.0,KINNIKINNICK FOODS INC.,OHIO,US,10940 120 STREET
721,98861825,4112.0,USP STRUCTURAL CONNECTORS (RSC),JOLIET,US,221 RACCO PARKWAY
722,98861831,4118.0,KIDDE CANADA,FLORIDA,US,C/O TRI-MOR SALES LTD.
723,98861841,4127.0,"BAUSCH HEALTH,CANADA INC.",HOUSTON,US,PO BOX 4228
724,98861842,4128.0,CONCORD PREMIUM MEATS,CHICAGO,US,125 EDILCAN DRIVE
725,98861843,4129.0,APPLE VALLEY FOODS INC.,MONTGOMERY,US,14 CALKIN DRIVE
726,98861845,4130.0,APPLE VALLEY FOODS INC.,MONTGOMERY,US,14 CALKIN DRIVE
727,98861847,4132.0,MAITRE SALADIER INC.,BROWNSVILLE,US,1755 LIONEL BERTRAND BLVD
728,98861855,414.0,F.P.D. INC,BALTIMORE,US,451 BEACONSFIELD BOULEVARD
729,98861857,4141.0,SNOWCREST FOODS LTD,ABILENE,US,1925 RIVERSIDE ROAD
730,98861858,4142.0,BONDUELLE CANADA INC,CLEVELAND,US,540 CHEMIN DES PATRIOTES
731,98861861,4145.0,WD-40 PRODUCTS CAN LTD,FAIRFIELD,US,P.O. BOX 220
732,98861865,4149.0,PURESOURCE INC FCL ORGAN GROC XDOCK,TEXAS,US,C/O WALLY FUNK
733,98861905,4185.0,"THOMAS, LARGE & SINGER",SPRINGFIELD,US,15 ALLSTATE PARKWAY
734,98861909,4189.0,ADAMA,WASHINGTON,US,300 - 191 LOMBARD AVENUE
735,98861910,419.0,SELECT READY FOODS INC,OHIO,US,"#200, 9411 63 AVE"
737,98861917,4196.0,STERLING PRESS AND PACKAGING,DETROIT,US,850 GREENWOOD AVE
738,98861919,4198.0,"ALL DAY NUTRITIONALS CANADA, INC.",LAKEWOOD,US,PO BOX 624
743,98861941,4217.0,OATEY CANADA INC,BAKERSFIELD,US,"145 WALKER DRIVE, UNIT #3"
745,98861956,4230.0,PRIVATE BRANDS CONSORTIUM (PBC) INC,MCKINNEY,US,3000 - BLVD RENE-LEVESQUE
746,98861964,4238.0,MULTI BROSSES INC.,CHARLESTON,US,300 RUE PRINCIPALE
747,98861973,4246.0,COVERED BRIDGE POTATO CHIP CO.,JERSEY CITY,US,35 ALWRIGHT CT.
748,98861982,4254.0,WILDLY DELICIOUS PRESERVE CO. LTD.,HOUSTON,US,114A RAILSIDE ROAD
749,98861984,4256.0,KRUGER PRODUCTS L.P.,ORLANDO,US,1625 - 5TH AVENUE
750,98861985,4257.0,GREENLAND FOOD LTD.,LOS ANGELES,US,1880 SAVAGE RD.
751,98861987,4259.0,HAPPY PLANET FOODS,CARROLLTON,US,601-4180 LOUGHEED HIGHWAY
753,98861989,4260.0,RED HAT COOPERATIVE LTD,LOS ANGELES,US,809 BROADWAY AVE E
754,98861991,4262.0,LITTLE POTATO COMPANY,OHIO,US,11749 180 STREET NW
755,98861992,4263.0,B.C. TREE FRUIT LTD,MONTGOMERY,US,1473 WATER STREET
756,98861994,4265.0,HEALTHY BODY SERVICES,HOUSTON,US,4576 YONGE STREET
757,98861995,4266.0,ROLF C. HAGEN INC.,BAKERSFIELD,US,20500 TRANS CANADA HWY
758,98861998,4269.0,BURNBRAE FARMS LTD,WASHINGTON,US,500 PANDORA AVE W.
759,98862005,4275.0,NORMERICA INC.,LOS ANGELES,US,1599 HURONTARIO STREET
761,98862013,4282.0,GOOD FOOD FOR GOOD INC,HOUSTON,US,196 THREE VALLEYS DRIVE
762,98862016,4285.0,IDEAL SECURITY INC,NAPERVILLE,US,B-7585 CORDNER
763,98862017,4286.0,THOMAS FRESH-WARM PRODUCT,FLORIDA,US,5460 76TH AVENUE S.E.
764,98862022,4290.0,LIVING FOODS,MIAMI,US,BOX 6121
765,98862038,4304.0,CAMPBELL COMPANY,DETROIT,US,41 HILLCREST PLACE
766,98862039,4305.0,STAR BRANDS CANADA,HOUSTON,US,C/O LOCKBOX 918170
767,98862043,4309.0,HOUWELING'S GROUP,CHICAGO,US,2776 64TH STREET
768,98862045,4310.0,SANOFI-AVENTIS CANADA INC.,RICHARDSON,US,2905_PLACE LOUI-R-RENAUD
769,98862049,4314.0,REGAL CONFECTIONS INC,FLORIDA,US,SUITE 110
773,98862060,4324.0,HANDI FOODS LTD.,HOUSTON,US,190 NOREICO DRIVE
774,98862067,4330.0,HAIN CELESTIAL CANADA ULC,HOUSTON,US,180 ATLWELL DRIVE
775,98862070,4333.0,LOVEDAY MUSHROOMS,MISSOURI,US,556 MISS33N STREET
776,98862081,4343.0,STAR PRODUCE,TEXAS,US,2941 PORTAGE AVE
778,98862091,4352.0,OLYMEL,BILLINGS,US,1580 RUE EIFFEL
779,98862095,4356.0,COMPASS MINERALS,WASHINGTON,US,SUITE 202-6700 CENTURY AVE.
780,98862099,436.0,511 FOODSERVICE_OAKVILLE,MURFREESBORO,US,2860 PORTLAND DRIVE
781,98862100,4360.0,JELD-WEN WINDOWS & DOORS,WASHINGTON,US,550 MUNROE AVE
782,98862103,4363.0,EDMONTON POTATO GROWERS LTD,OHIO,US,12220 170 STREET
783,98862104,4364.0,BUNZL CLEANING & HYGIENE,FLORIDA,US,2270 PORTLAND ST. S E
784,98862106,4366.0,DAVID OPPENHEIMER & ASSOC (US),CHICAGO,US,#101-11 BURBRIDGE STREET
786,98862119,4378.0,KISKO PRODUCTS,LINCOLN,US,50 ROYAL GROUP CRESCENT
787,98862123,4381.0,DERLEA BRAND FOODS,LOS ANGELES,US,1739 ORANGEBROOK COURT
788,98862124,4382.0,YAT SUN FOOD PRODUCTS,OHIO,US,12531-126ST.
789,98862126,4384.0,NATIONAL IMPORTERS LTD,MIDLAND,US,UNIT #120 - 13100 MITCHELL ROAD
791,98862128,4386.0,STAR PRODUCE_APPLES_& PEARS,TEXAS,US,2941 PORTAGE AVE
793,98862139,4396.0,GRAIN MILLERS CANADA CORP.,YORKTON,US,#1 GRAIN MILLERS DRIVE
794,98862144,4400.0,L'OREAL CANADA - CERAVE,WESTMINSTER,US,1500 BOUL. ROBERT-BOURASSA
795,98862145,4401.0,GREAT WESTERN BREWING CO LTD,TEXAS,US,519 - 2ND AVENUE NORTH
796,98862150,4406.0,WELL JUICERY CANADA LTD.,DETROIT,US,120 SINNOTT ROAD
797,98862151,4407.0,HORTON SPICE MILLS LTD (CANADA),SPRINGFIELD,US,256 STEELCASE ROAD W
798,98862153,4409.0,THE CUCUMBER MAN_- CAL/EDM,LOS ANGELES,US,8 6TH STREET SW
800,98862156,4411.0,CAR-FRESHNER CORPORATION,FLORIDA,US,C/O ZURAWEL PATTON SAMPLE
801,98862164,4419.0,PRAIRIE FRESH FOOD CORPORATION,LOS ANGELES,US,PO BOX 249
802,98862166,4420.0,PRAIRIE FRESH FOOD CORPORATION,TEXAS,US,2335 SCHUYLER STREET
803,98862169,4423.0,PRAIRIE FRESH FOOD CORPORATION,LOS ANGELES,US,PO BOX 249
804,98862170,4424.0,ABBOTT/ROSS LABS,CEDAR RAPIDS,US,8625 TRANS-CANADA HWY
805,98862171,4425.0,DOVRE IMPORT & EXPORT LTD.,LOS ANGELES,US,13931 BRIDGEPORT RD.
806,98862177,4430.0,THOMAS FRESH INC.,TEXAS,US,213 MELVILLE STREET
807,98862184,4437.0,FUN TYME FOODS LTD.,WASHINGTON,US,#102-455 DEBAETS ST.
808,98862188,4440.0,PEAK OF THE MARKET,MISSOURI,US,1200 KING EDWARD STREET
809,98862189,4441.0,PRAIRIE FRESH FOOD CORPORATION,LOS ANGELES,US,PO BOX 249
810,98862190,4442.0,INTERPROVINCIAL CO-OP LTD,DETROIT,US,945 MARION STREET
811,98862196,4448.0,FRESH HEMP FOODS LTD.,MISSOURI,US,69 EAGLE DRIVE
812,98862199,4450.0,AGT FOODS RETAIL DIVISION,RICHARDSON,US,2185 FRANCIS-HUGHES
813,98862200,4451.0,LEKIU DISTRIBUTORS LTD.,INGLEWOOD,US,C/O K.K.J. SALES
814,98862207,4459.0,MAITRE SALADIER INC._(SC RIBS),BROWNSVILLE,US,1755 LIONEL BERTRAND BLVD
815,98862213,4464.0,CALKINS & BURKE LTD,INGLEWOOD,US,SUITE 301
816,98862218,4469.0,PELMEN FOODS,HOUSTON,US,E-777 THE QUEENSWAY
820,98862222,4472.0,WELL JUICERY CANADA LTD.,DETROIT,US,120 SINNOTT ROAD
821,98862224,4474.0,ROYAL FOODS LTD.,OHIO,US,12525 89 STREET
823,98862227,4477.0,SUNRISE SOYA FOODS,INGLEWOOD,US,729 POWELL STREET
824,98862228,4478.0,"THOMAS, LARGE & SINGER INC",SPRINGFIELD,US,15 ALLSTATE PARKWAY
826,98862232,4481.0,"THOMAS, LARGE & SINGER INC",SPRINGFIELD,US,15 ALLSTATE PARKWAY
827,98862236,4485.0,"THOMAS, LARGE & SINGER INC",SPRINGFIELD,US,15 ALLSTATE PARKWAY
830,98862258,4504.0,ASSOCIATED TRUCKERS SUPPLY(CANADA),CHICAGO,US,108-44195 YALE ROAD WEST
831,98862260,4506.0,VAN MELLE CANADA LTD,SPRINGFIELD,US,C/O THOMAS LARGE & SINGER
832,98862268,4513.0,PHARMASYSTEMS INC,SPRINGFIELD,US,151 TELSON RD
834,98862274,4519.0,KAO BRANDS CANADA INC.,WASHINGTON,US,75 COURTNEYPARK DRIVE W.
835,98862275,452.0,SAPUTO FOODS LIMITED,TEXAS,US,C/O ROB KNITTIG
836,98862278,4522.0,ULTIMA FOODS INC,EVANSVILLE,US,4600 ARMAND-FRAPPIER STREET
838,98862282,4526.0,DOVRE IMPORT & EXPORT LTD.,LOS ANGELES,US,13931 BRIDGEPORT RD.
839,98862285,4529.0,SC JOHNSON & SON,CAMBRIDGE,US,CUSTOMER SERVICE
840,98862286,453.0,SANTA MARIA FOODS,BIRMINGHAM,US,10 ARMTHORPE ROAD
841,98862291,4534.0,DIXON GROUP CANADA LTD,WASHINGTON,US,2200 LOGAN AVENUE
842,98862292,4535.0,SAPUTO DAIRY PRODUCTS CANADA G.P.,DETROIT,US,38 ENTERPRISE DRIVE
843,98862301,4543.0,EXCELDOR COOPERATIVE,MISSOURI,US,750 PANDORA AVENUE
844,98862305,4547.0,SELECT FOOD PRODUCTS,HOUSTON,US,120 SUNRISE AVE
845,98862312,4553.0,JOHNSON & JOHNSON CNSMR PROD DIV,FLORIDA,US,C/O IMPACT SALES & MARKETING
846,98862322,4562.0,PEAK OF THE MARKET,WASHINGTON,US,1200 KING EDWARD STREET
848,98862335,4574.0,WORLDWIDE SPECIALTY FOODS LTD,FLORIDA,US,7410F 5TH STREET SE
849,98862338,4577.0,FRUIT D'OR INC,PATERSON,US,604 B ST LOUIS O
850,98862340,4579.0,SHAH TRADING COMPANY LTD,DETROIT,US,3401 RUE DOUGLAS B FLOREANI
851,98862342,4580.0,AGRI-TEL GRAIN LTD,BALTIMORE,US,BOX 808
852,98862343,4581.0,ROYAL FOODS LTD.,OHIO,US,12525 89 STREET
854,98862357,4594.0,E.D. SMITH FOODS LTD.,LINCOLN,US,944 HIGHWAY #8
855,98862371,4608.0,VAN DE WATER-RAYMOND 1960 LTD.,RICHARDSON,US,2300 MONTEREY
856,98862376,4612.0,INFORM BROKERAGE,CARROLLTON,US,2286 HOLDOM AVENUE
858,98862383,4619.0,E.D. SMITH & SONS LTD,LINCOLN,US,944 HIGHWAY #8
859,98862396,4631.0,PENTAIR FLOW TECHNOLOGIES,HOUSTON,US,PO BOX 57462
861,98862412,4646.0, MCCORMICK CANADA INC,ROCKFORD,US,P.O. BOX 5788
862,98862413,4647.0,  MCCORMICK CANADA INC,ROCKFORD,US,P.O. BOX 5788
863,98862414,4648.0,FUN TYME FOODS LTD.,WASHINGTON,US,"UNIT 2, 45 BEGHIN AVENUE"
865,98862419,4652.0,WOLLASTON LAKE FISHERY,LOS ANGELES,US,247C RIVER ST WEST
866,98862420,4653.0,POLARPAK COMPANY,DETROIT,US,4210 BOULEVARD THIMENS
867,98862425,4658.0,WINKLER MEATS,LINCOLN,US,270 GEORGE AVENUE
868,98862426,4659.0,CAISSEN WATER TECHNOLOGIES INC.,CHARLOTTE,US,265 INDUSTRIAL RD.
869,98862427,466.0,DRUMMOND METAL PRODUCTS,WASHINGTON,US,5720 AMBLER DR
870,98862432,4664.0,TRI-STAR INTERNATIONAL,JERSEY CITY,US,SUITE 300- 736 BROUGHTON ST
871,98862433,4665.0,ANDERSON WATTS,CARROLLTON,US,6336 DARNLEY ST
872,98862434,4666.0,SAINT-GOBAIN ABRASIVES,CHULA VISTA,US,"435 MCNEILLY ROAD, UNIT 101"
873,98862438,467.0,BEIERSDORF CANADA INC,YONKERS,US,DANIEL CURRY
874,98862439,4670.0,KELLOGG CANADA INC,HOUSTON,US,PO BOX 15594
875,98862441,4672.0,DRAKE MEATS,FAIRFIELD,US,121 FRANCIS STREET
877,98862444,4675.0,KELLOGG CANADA INC,HOUSTON,US,PO BOX 15594
878,98862445,4676.0,DAIYA FOODS,INGLEWOOD,US,2768 RUPERT STREET
879,98862450,4680.0,TERRA COTTA FOODS LTD.,HOLLYWOOD,US,36 ARMSTRONG AVENUE
880,98862452,4682.0,BAKEMARK CANADA,FLORIDA,US,3202 9TH ST. S.E.
882,98862457,4687.0,ALBERTA NATURAL PRODUCTS LTD,FLORIDA,US,6120 1A STREET
883,98862461,4691.0,TASK TOOLS,CLEVELAND,US,6800 DENNETT PLACE
885,98862468,4698.0,HALO TOP CANADA LTD,INGLEWOOD,US,1600-1095 WEST PENDER STREET
887,98862474,4704.0,SODA STREAM CANADA,WARREN,US,5250 EXPLORER DRIVE
888,98862475,4705.0,KERR BROTHERS LTD,HOUSTON,US,956 ISLINGTON AVENUE
889,98862487,4716.0,EARTH'S OWN,CARROLLTON,US,601 - 4180 LOUGHEED HIGHWAY
891,98862499,4728.0,PREMIUM FOODS,HOUSTON,US,42 TABER RD
892,98862500,4729.0,RUBBERMAID (FOOD DIV),HOUSTON,US,PO BOX 3502 STATION A
893,98862502,4730.0,KIMBERLY CLARK CANADA INC,TEXAS,US,MICHELLE LEFRANC
894,98862506,4734.0,NATURALLY HOME GROWN FOODS-HARDBITE,KNOXVILLE,US,PO BOX 607
895,98862513,4741.0,BURNBRAE FARMS LTD.,MISSOURI,US,500 PANDORA AVE WEST
896,98862516,4744.0,ADM MILLING COMPANY,WACO,US,7585 DANBRO CRESCENT
897,98862517,4745.0,SURE GOOD FOODS LTD,WASHINGTON,US,2333 NORTH SHERIDAN WAY
898,98862527,4754.0,CHOSEN FOODS CORPORATION,INGLEWOOD,US,506-1505 WEST 2ND AVE
899,98862532,4759.0,E.D. SMITH & SONS LTD,LINCOLN,US,944 HIGHWAY #8
900,98862535,4761.0,SPARKS FARM EGG SUPPLIES,FLORIDA,US,"R.R. #6,"
901,98862537,4763.0,E.I. JOHNSON MFG INC,MODESTO,US,(FORMERLY ROCKLINE INDUSTRIES)
902,98862538,4764.0,"DOT FOODS CANADA, INC (FROZEN)",CHICAGO,US,#200 - 1580 BRIGANTINE DRIVE
903,98862547,4772.0,LOXCREEN CANADA LTD,VISTA,US,5720 AMBLER DRIVE
905,98862559,4783.0,KOST KLIP MFG LTD,LOS ANGELES,US,UNIT 119-1611 BROADWAY STREET
906,98862562,4786.0,"GARDEN FRESH GOURMET, LLC",DETROIT,US,450 DESLAURIERS
907,98862570,4793.0,DANONE,BILLINGS,US,100 RUE DE LAUZON
908,98862571,4794.0,DANONE,BILLINGS,US,100 RUE DE LAUZON
909,98862585,4806.0,KUNY'S LEATHER MANUFACTURING CO LTD,RICHARDSON,US,5901 44A STREET
910,98862587,4808.0,THAI UNITED FOOD TRADING LTD.,CARROLLTON,US,"7978 NORTH FRASER WAY, UNIT 2"
911,98862591,4811.0,BRR LOGISTICS LIMITED,BIRMINGHAM,US,UNIT 85- 745 INTERMODAL DRIVE
912,98862595,4815.0,KRAFT HEINZ CANADA ULC,DETROIT,US,95 MOATFIELD DRIVE
913,98862598,4818.0,JOHN WATSON LTD.__(WINTER),CARROLLTON,US,7955 NORTH FRASER WAY
914,98862600,482.0,HOMTRONIX (CTM-SHANGHAI),INGLEWOOD,US,SUIT 217
915,98862604,4823.0,ARCTIC GLACIER ICE,OHIO,US,17908 118 AVE
916,98862605,4824.0,LANART RUG INC,CHARLESTON,US,300 ST-LOUIS
917,98862610,4829.0,SPRINGFIELD INSTRUMENTS INC,GRESHAM,US,104 BARR STREET
919,98862612,4830.0,WN PHARMACEUTICALS LTD,CHICAGO,US,C/O LEONA TIMMER
920,98862614,4832.0,PROVINCIAL WALLCOVERINGS,LINCOLN,US,PO BOX 10003 STONEY CREEK
923,98862627,4844.0,HOUWELING'S GROUP_#,COLUMBIA,US,2776 64TH STREET
924,98862638,4854.0,PINTY'S DELICIOUS FOODS,CARMEL,US,5063 NORTH SERVICE RD
925,98862640,4856.0,WN PHARMACEUTICALS LTD,CHICAGO,US,C/O LEONA TIMMER
926,98862642,4858.0,FROMAGERIES BEL CANADA INC.,FLORIDA,US,"CONGBEC INC.,5500 72 AVE SE"
927,98862644,486.0,GARANT/IPCO_(WINTER),DETROIT,US,375 CHEMIN ST FRANCOIS OUEST
929,98862649,4864.0,ACH FOOD COMPANIES INC,WASHINGTON,US,"30 EGLINTON AVENUE WEST, SUITE 300"
930,98862650,4865.0,VINTAGE BRANDS LTD.,HOUSTON,US,1600-2300 YONGE STREET
931,98862651,4866.0,DAVID OPPENHEIMER & ASSOC (CDN),CHICAGO,US,#101 - 11 BURBRIDGE STREET
935,98862675,4888.0,LASSONDE SPECIALTIES INC,CLEVELAND,US,200 ST-JOSEPH
937,98862694,4905.0,DOT FOODS CANADA,BIRMINGHAM,US,12 BARTON CRT
938,98862696,4907.0,HOMTRONIX (INTER ASIA-NINGBO),INGLEWOOD,US,#711 THE ELECTRA BUILDING
939,98862698,4909.0,MENU FOODS LTD,VISTA,US,8 FALCONER DRIVE
940,98862712,4921.0,NEM FOOD CORP.,MCKINNEY,US,96 COVINGTON STREET
941,98862713,4922.0,RICHARDSON OILSEED LTD.,MISSOURI,US,2800 ONE LOMBARD PLACE
943,98862728,4937.0,CROSBY MOLASSES CO LTD,MISSOURI,US,C/O BINNER MARKETING & SALES INC
944,98862730,4939.0,WESTOAK NATURALS INC,TEXAS,US,3110-8TH ST E UNIT 8B - 294
945,98862731,4940.0,LACTALIS CANADA INC.,FLORIDA,US,1939 CENTRE AVENUE SE
946,98862741,495.0,LITTLE POTATO COMPANY,OHIO,US,11749 180 STREET NW
947,98862753,4960.0,AGROPUR CANADA,FORT WORTH,US,4600 ARMAND-FRAPPIER STREET
948,98862754,4961.0,WILDLY DELICIOUS PRESERVE COMPANY,HOUSTON,US,114A RAILSIDE ROAD
949,98862759,4966.0,MERIDIAN MANUFACTURING GROUP,RICHARDSON,US,3125-24TH AVE.N.
950,98862764,4970.0,GRAND RIVER FOODS WEST,KNOXVILLE,US,13538 73 AVE
951,98862767,4973.0,STAR EGG CO LTD,TEXAS,US,1302 QUEBEC AVENUE
952,98862775,4981.0,HOMTRONIX (BESTWAY),INGLEWOOD,US,SUITE 217
953,98862777,4983.0,GRAND RIVER FOODS EAST,JERSEY CITY,US,35 NORTHLAND RD.
954,98862779,4985.0,INTEPLAST BAGS AND FILMS CORP,CHICAGO,US,7503 VANTAGE PLACE
955,98862781,4987.0,CAN MAR FOODS LTD.,LOS ANGELES,US,2480 SANDRA SCHMIRLER WAY
956,98862787,4993.0,LEE'S FOOD PRODUCTS,FLORIDA,US,C/O ACOSTA CANADA
957,98862804,5007.0,E.D. SMITH & SONS LTD,LINCOLN,US,944 HIGHWAY #8
958,98862812,5015.0,BONDUELLE CANADA,DETROIT,US,540 CHEMIN DES PATRIOTES
959,98862814,5017.0,E-FRESH FOOD LTD.,LOS ANGELES,US,140-11780 HAMMERSMITH WAY
960,98862815,5018.0,OK FROZEN DOUGH,ANAHEIM,US,4145 SPALLUMCHEEN PLACE
